1455214178.609961033,387.484009
1455214178.628052950,387.514252
1455214178.644921064,387.665436
1455214178.661237001,387.544495
Timestamp,Depth
1455214178.677443981,387.604980
1455214178.694730997,387.665436
1455214178.711507082,387.544495
Timestamp,Depth
1455214178.727386951,387.574738
1455214178.742983103,387.484009
1455214178.760031939,387.604980
Timestamp,Depth
1455214178.777403116,387.604980
1455214178.793462038,387.665436
1455214178.810554028,387.604980
Timestamp,Depth
1455214178.826653957,387.604980
1455214178.842515945,387.574738
1455214178.859783888,387.665436
Timestamp,Depth
1455214178.876029968,387.574738
1455214178.891783953,387.725922
1455214178.907114983,387.665436
Timestamp,Depth
1455214178.922413111,387.665436
1455214178.938148975,387.544495
1455214178.955142021,387.665436
Timestamp,Depth
1455214178.970662117,387.665436
1455214178.986515045,387.604980
1455214179.002787113,387.665436
Timestamp,Depth
1455214179.018475056,387.665436
1455214179.034890890,387.665436
1455214179.051328897,387.604980
Timestamp,Depth
1455214179.068605900,387.635223
1455214179.084572077,387.695679
1455214179.100897074,387.635223
Timestamp,Depth
1455214179.117077112,387.635223
1455214179.134160995,387.544495
1455214179.150378942,387.604980
Timestamp,Depth
1455214179.166409016,387.544495
1455214179.182235956,387.574738
1455214179.199037075,387.635223
1455214179.215581894,387.574738
Timestamp,Depth
1455214179.233520031,387.544495
1455214179.249573946,387.604980
Timestamp,Depth
1455214179.266573906,387.514252
1455214179.282742977,387.544495
1455214179.298332930,387.604980
1455214179.314431906,387.665436
Timestamp,Depth
1455214179.333734035,387.544495
1455214179.349817038,387.635223
Timestamp,Depth
1455214179.366832972,387.604980
1455214179.385355949,387.574738
1455214179.401931047,387.574738
Timestamp,Depth
1455214179.420794964,387.574738
1455214179.439091921,387.514252
1455214179.455610991,387.574738
Timestamp,Depth
1455214179.473131895,387.544495
1455214179.489717960,387.665436
1455214179.506531954,387.544495
Timestamp,Depth
1455214179.521872044,387.574738
1455214179.539150953,387.604980
1455214179.554836988,387.574738
Timestamp,Depth
1455214179.571171999,387.544495
1455214179.587279081,387.635223
1455214179.603323936,387.574738
Timestamp,Depth
1455214179.620248079,387.514252
1455214179.636068106,387.544495
1455214179.651237965,387.604980
Timestamp,Depth
1455214179.666750908,387.604980
1455214179.682480097,387.665436
1455214179.697936058,387.574738
1455214179.713200092,387.635223
Timestamp,Depth
1455214179.728653908,387.544495
1455214179.746752977,387.544495
1455214179.764930010,387.635223
Timestamp,Depth
1455214179.783869982,387.665436
1455214179.801197052,387.635223
Timestamp,Depth
1455214179.817742109,387.544495
1455214179.833111048,387.604980
1455214179.848407030,387.604980
1455214179.864111900,387.574738
Timestamp,Depth
1455214179.884026051,387.665436
1455214179.899981976,387.574738
1455214179.915657997,387.574738
Timestamp,Depth
1455214179.936050892,387.604980
1455214179.951380014,387.695679
Timestamp,Depth
1455214179.968600035,387.544495
1455214179.986692905,387.635223
1455214180.003631115,387.544495
Timestamp,Depth
1455214180.019269943,387.574738
1455214180.036009073,387.665436
1455214180.053859949,387.544495
Timestamp,Depth
1455214180.069561005,387.635223
1455214180.085690022,387.604980
1455214180.102277994,387.604980
Timestamp,Depth
1455214180.119573116,387.604980
1455214180.136950016,387.574738
1455214180.153287888,387.544495
Timestamp,Depth
1455214180.170572996,387.544495
1455214180.187591076,387.604980
1455214180.204549074,387.665436
Timestamp,Depth
1455214180.222455978,387.635223
1455214180.238527060,387.574738
1455214180.255192041,387.574738
Timestamp,Depth
1455214180.274177074,387.574738
1455214180.290468931,387.544495
1455214180.306469917,387.635223
Timestamp,Depth
1455214180.325088024,387.665436
1455214180.342041016,387.635223
1455214180.358712912,387.544495
Timestamp,Depth
1455214180.376590967,387.574738
1455214180.393975973,387.604980
1455214180.411204100,387.544495
Timestamp,Depth
1455214180.427356958,387.544495
1455214180.443099022,387.544495
1455214180.459070921,387.544495
Timestamp,Depth
1455214180.475769997,387.544495
1455214180.492754936,387.665436
1455214180.508760929,387.604980
Timestamp,Depth
1455214180.524631977,387.665436
1455214180.542339087,387.665436
1455214180.558754921,387.665436
Timestamp,Depth
1455214180.576652050,387.695679
1455214180.592919111,387.635223
1455214180.608620882,387.544495
Timestamp,Depth
1455214180.625473976,387.604980
1455214180.641077042,387.544495
1455214180.656732082,387.635223
Timestamp,Depth
1455214180.673904896,387.604980
1455214180.689480066,387.635223
1455214180.708280087,387.635223
Timestamp,Depth
1455214180.725635052,387.665436
1455214180.741499901,387.604980
1455214180.758855104,387.604980
1455214180.774527073,387.544495
1455214180.791424990,387.604980
1455214180.807301998,387.544495
Timestamp,Depth
1455214180.823246956,387.695679
1455214180.839095116,387.665436
1455214180.856403112,387.695679
Timestamp,Depth
1455214180.872616053,387.635223
1455214180.889666080,387.604980
1455214180.906311035,387.635223
Timestamp,Depth
1455214180.923208952,387.604980
1455214180.938827991,387.604980
1455214180.954786062,387.574738
Timestamp,Depth
1455214180.971240997,387.665436
1455214180.986689091,387.665436
1455214181.001899958,387.604980
Timestamp,Depth
1455214181.017685890,387.604980
1455214181.035820007,387.604980
1455214181.051175117,387.695679
Timestamp,Depth
1455214181.069420099,387.635223
1455214181.086534977,387.635223
1455214181.103522062,387.665436
Timestamp,Depth
1455214181.119692087,387.635223
1455214181.135875940,387.544495
1455214181.150427103,387.574738
Timestamp,Depth
1455214181.167275906,387.574738
1455214181.187968016,387.544495
1455214181.204634905,387.544495
Timestamp,Depth
1455214181.221263885,387.665436
1455214181.236916065,387.635223
1455214181.252485991,387.574738
Timestamp,Depth
1455214181.267452002,387.604980
1455214181.282799006,387.635223
